"unitId","cardName","setCode","number","variant","language","setName","rarity","cmUrl","manualReason","verdict","yourSource"
"U0313","Snorlax ex","xPRE","076","V2","Spanish","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0314","Snorlax ex","xPRE","076","V2","Italian","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0315","Snorlax ex","xPRE","076","V2","Portuguese","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0324","Hop's Snorlax","PPS7 JTG","JTG 117","base","English","Play! Pokémon Prize Pack Series Seven","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0325","Hop's Snorlax","PPS7 JTG","JTG 117","base","French","Play! Pokémon Prize Pack Series Seven","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0326","Hop's Snorlax","PPS7 JTG","JTG 117","base","German","Play! Pokémon Prize Pack Series Seven","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0327","Hop's Snorlax","PPS7 JTG","JTG 117","base","Spanish","Play! Pokémon Prize Pack Series Seven","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0328","Hop's Snorlax","PPS7 JTG","JTG 117","base","Italian","Play! Pokémon Prize Pack Series Seven","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0377","Snorlax","PPS3 LOR","LOR 143","base","Portuguese","Play! Pokémon Prize Pack Series Three","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Three/Snorlax-PPS3LOR-143","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0539","Snorlax","PPS1 VIV","VIV 131","V1","Portuguese","Play! Pokémon Prize Pack Series One","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-One/Snorlax-V1-PPS1VIV-131","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0598","Snorlax","PPS1 VIV","VIV 131","V2","Portuguese","Play! Pokémon Prize Pack Series One","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-One/Snorlax-V2-PPS1VIV-131","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0785","Hop's Snorlax","xm2a","136","V2","Korean","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0786","Hop's Snorlax","xm2a","136","V2","T-Chinese","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0787","Hop's Snorlax","xm2a","136","V2","Indonesian","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0788","Hop's Snorlax","xm2a","136","V2","Thai","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0790","Hop's Snorlax","xm2a","136","V1","Korean","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0791","Hop's Snorlax","xm2a","136","V1","T-Chinese","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0792","Hop's Snorlax","xm2a","136","V1","Indonesian","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0793","Hop's Snorlax","xm2a","136","V1","Thai","MEGA Dream ex: Additionals","Fixed","https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
