#;Release;Date exact;Release source;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL;Row ID;Coverage version;Coverage denominator;Row count delta;Dropped language relationships;Legacy scalar dates overwritten;Unsourced presented as reviewed exact;Migration disposition;Terminal state;Date provenance disposition;Release event IDs;Supported date languages;Needs-evidence date languages;Legacy row SHA-256;Reconciliation warning
162;2024-08-30;yes;https://bulbapedia.bulbagarden.net/wiki/Stellar_Tera_Type_Starter_Sets_%28TCG%29;Snorlax;svLN;010;—;base;;Stellar Tera Type Starter Set Sylveon ex;Fixed;;non-holo;confirmed, pending;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Tera-Type-Starter-Set-Sylveon-ex/Snorlax-svLN010;svln-010-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;explicitly-split;needs-evidence;newly-sourced;EVENT:e66243fde42751e1;Japanese;Korean;sha256:03d2f24d0b0267d6a3435f0a8955ce73f32cc4338193856c9f8db3c58246701d;The scalar is not copied onto languages outside the source event scope.
163;2024-09-20;yes;https://bulbapedia.bulbagarden.net/wiki/Marine_Shadow_%28ATCG%29;Snorlax;CS6bC;113;—;base;;Azure Shadow - Pursuit;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Azure-Shadow-Pursuit/Snorlax-CS6bC113;cs6bc-113-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:2e205e1bafa42118;S-Chinese;;sha256:2008946d7f93d43899a44270da51ed3fd2f0778e72cc101bce3596f8346cd4a3;
164;2024-10-26;yes;https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Card_Display_Set_Gift_Box_Vol._3_%28ATCG%29;Snorlax;CSUC;010;—;base;;Display Set Gift Box Gengar;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Display-Set-Gift-Box-Gengar/Snorlax-CSDC010;csuc-010-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:dacbca835c555760;S-Chinese;;sha256:b4a078262fe860d01b397f36b6b4cae9f69932bc2449627a742e65912d5a5b45;
165;2024-11-08;yes;;Snorlax;SSP;144;—;base;;Surging Sparks;Common;Ounishi;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Surging-Sparks/Snorlax-SSP144;ssp-144-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:7c0cac81f696dca1028383799b82c8ff2295c5621d3b0ef404f337bd702c4456;Legacy scalar has no row-level source and is not a reviewed release event.
166;2024-11-15;yes;https://bulbapedia.bulbagarden.net/wiki/Peripheral_Collection_Gift_Box%3A_Variety_Treasure_Box_%28ATCG%29;Snorlax;CSZC;018;—;base;;Variety Treasure Box;Fixed;;reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Variety-Treasure-Box/Snorlax-CSZC018;cszc-018-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:501963eea3bcd0f7;S-Chinese;;sha256:3603728eccb3120aefa5255e2f8ecde980d4275819144fb138cd74b1fed58c60;
167;2024-11-22;yes;;Snorlax ex;svM;094;—;base;;Generations Start Decks;Fixed;N-DESIGN Inc.;;pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Generations-Start-Decks/Snorlax-ex-svM094;svm-094-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese, Korean, T-Chinese, Indonesian, Thai;sha256:7cb5615db27095e7c302ef771b061bbff530414f920a6a46ff19449b5b05c135;Legacy scalar has no row-level source and is not a reviewed release event.
168;~2025;approx;;Snorlax;SV-P/CS;277;—;base;;Scarlet & Violet Simplified Chinese Promos;Promo;;reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Simplified-Chinese-Promos/Snorlax-SV-PCS277;svpcs-277-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;S-Chinese;sha256:05a28113254e32317d589747cc5ce301ab01603038323fe8330b146ab0c67ef3;Legacy scalar has no row-level source and is not a reviewed release event.
169;2025-01-17;yes;;Snorlax;151C;143;—;V1;;Collect 151;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Collect-151/Snorlax-V1-151C143;151c-143-v1-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;S-Chinese;sha256:760390cd7f3f6705cbfcbfff43d9068ca888e7f456d37293f0f0adf21c7c7ff7;Legacy scalar has no row-level source and is not a reviewed release event.
170;2025-01-17;yes;;Snorlax;151C;169;—;V2;;Collect 151;Shiny Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Collect-151/Snorlax-V2-151C169;151c-169-v2-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;S-Chinese;sha256:37a6e1f3a9939d87b014f88efa6c64103e60ee8ea97fcc006f42a9e1d1946399;Legacy scalar has no row-level source and is not a reviewed release event.
171;2025-01-17;yes;https://bulbapedia.bulbagarden.net/wiki/Pikachu_%26_Clefairy_%26_Turtwig_%26_Gimmighoul_Happy_Set_%28ATCG%29;Snorlax;CSVH1C;a001;—;base;;Happy Set Pikachu & Clefairy & Turtwig & Gimmighoul;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Happy-Set-Pikachu-Clefairy-Turtwig-Gimmighoul/Snorlax-CSVH1Ca001;csvh1c-a001-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:f979eddca3e175e6;S-Chinese;;sha256:ed2659a8c8ac1e0e0e4ff13b8f046cb92f723a2ab22bfe8d69d9870cecd1234d;
