#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
155;~2025;approx;Snorlax;CSVL1C;109;—;base;;Adventure Special Pack;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Adventure-Special-Pack/Snorlax-CSVL1C109
156;~2025;approx;Snorlax;CS6bC;113;—;base;;Azure Shadow - Pursuit;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Azure-Shadow-Pursuit/Snorlax-CS6bC113
157;~2025;approx;Snorlax;CSMPC;h009;—;base;;Battle Party Set;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Party-Set/Snorlax-CSMPCh009
158;~2025;approx;Snorlax;CSV7C;158;—;base;;Blade Awakening;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Blade-Awakening/Snorlax-CSV7C158
159;~2025;approx;Snorlax;CS5aC;093;—;base;;Brave Stars - Charm;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Brave-Stars-Charm/Snorlax-PKMSCHCS5aC-093
160;~2025;approx;Snorlax;CS5DC;097;—;V1;;Brave Stars V Starter Deck;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Brave-Stars-V-Starter-Deck/Snorlax-V1-CS5DC097
161;~2025;approx;Snorlax;CS5DC;098;—;V2;;Brave Stars V Starter Deck;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Brave-Stars-V-Starter-Deck/Snorlax-V2-CS5DC098
162;~2025;approx;Snorlax;CSUC;010;—;base;;Display Set Gift Box Gengar;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Display-Set-Gift-Box-Gengar/Snorlax-CSDC010
163;~2025;approx;Eevee & Snorlax GX;CSM2.1C;054;—;base;;Golden Energy;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Golden-Energy/Eevee-Snorlax-GX-CSM21C054
164;~2025;approx;Snorlax;CSVH1C;a001;—;base;;Happy Set Pikachu & Clefairy & Turtwig & Gimmighoul;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Happy-Set-Pikachu-Clefairy-Turtwig-Gimmighoul/Snorlax-CSVH1Ca001
165;~2025;approx;Snorlax;SV-P/CS;277;—;base;;Scarlet & Violet Simplified Chinese Promos;Promo;;reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Simplified-Chinese-Promos/Snorlax-SV-PCS277
166;~2025;approx;Eevee & Snorlax GX;CSM2cC;103;—;V1;;Shining Synergy - Summon;Double Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Synergy-Summon/Eevee-Snorlax-GX-V1-CSM2cC103
167;~2025;approx;Eevee & Snorlax GX;CSM2cC;170;—;V2;;Shining Synergy - Summon;Ultra Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Synergy-Summon/Eevee-Snorlax-GX-V2-CSM2cC170
168;~2025;approx;Eevee & Snorlax GX;CSM2cC;171;—;V3;;Shining Synergy - Summon;Special Illustration Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Synergy-Summon/Eevee-Snorlax-GX-V3-CSM2cC171
169;~2025;approx;Snorlax;CSM2bC;124;—;base;;Shining Synergy - Supreme;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Synergy-Supreme/Snorlax-CSM2bC124
170;~2025;approx;Snorlax;CSM2DC;213;—;base;;Shining Synergy GX Starter Deck;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Synergy-GX-Starter-Deck/Snorlax-CSM2DC213
171;~2025;approx;Snorlax GX;CSM1cC;102;—;base;;Storming Emergence - Abundant;Double Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Storming-Emergence-Abundant/Snorlax-GX-CSM1cC102
172;~2025;approx;Snorlax;CSZC;018;—;base;;Variety Treasure Box;Fixed;;reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Variety-Treasure-Box/Snorlax-CSZC018
173;2025-01-17;yes;Snorlax;151C;143;—;V1;;Collect 151;Uncommon;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Collect-151/Snorlax-V1-151C143
174;2025-01-17;yes;Snorlax;151C;169;—;V2;;Collect 151;Shiny Rare;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Collect-151/Snorlax-V2-151C169
175;2025-01-17;yes;Snorlax ex;PRE;076;—;base;;Prismatic Evolutions;Double Rare;N-DESIGN Inc.;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Snorlax-ex-PRE076
176;2025-01-24;yes;Hop's Snorlax;sv9;075;—;base;;Battle Partners;Rare;;non-holo;confirmed, marketplace-claimed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Partners/Hops-Snorlax-sv9075
177;~2025;approx;Snorlax ex;xPRE;076;—;V1;"""Prismatic Evolutions"" stamp, Snorlax ex & Blissey ex Special Collection";Prismatic Evolutions: Additionals;Promo;N-DESIGN Inc.;holo;confirmed;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076
178;~2025;approx;Snorlax ex;xPRE;076;—;V2;Jumbo / oversized printing, Snorlax ex & Blissey ex Special Collection;Prismatic Evolutions: Additionals;Oversized;N-DESIGN Inc.;holo;confirmed;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076
179;2025-02-28;yes;Snorlax;CSVE1C;093;—;base;;Battle Party Dream Together;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Party-Dream-Together/Snorlax-CSVE1C093
180;~2025;approx;Hop's Snorlax;SVP;184;—;V1;;SV Black Star Promos;Promo;OKACHEKE;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Hops-Snorlax-V1-SVP184
181;~2025;approx;Hop's Snorlax;SVP;184;—;V2;;SV Black Star Promos;Promo;OKACHEKE;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Hops-Snorlax-V2-SVP184
182;2025-03-28;yes;Hop's Snorlax;JTG;117;—;base;;Journey Together;Rare;GOSSAN;holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Hops-Snorlax-JTG117
183;~2025;approx;Hop's Snorlax;xJTG;117;—;V1;"""Journey Together"" stamp (gift with purchase, Malaysia/Philippines/Singapore)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V1-xJTG117
184;~2025;approx;Hop's Snorlax;xJTG;117;—;V2;"""GameStop"" stamp (gift with purchase, USA/Canada)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V2-xJTG117
185;~2025;approx;Hop's Snorlax;xJTG;117;—;V3;"""EBGames"" stamp (gift with purchase, Australia/New Zealand)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V3-xJTG117
186;2025-07-18;yes;Snorlax;CSVE2C;122;—;base;;Battle Party Shining Dream;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Party-Shining-Dream/Snorlax-CSVE2C122
187;2025-07-25;yes;Snorlax;SV-P/ID;278;—;base;;Scarlet & Violet Indonesian Promos;Promo;;;pending;1;;;;;;;;;;;;;;X;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Indonesian-Promos/Snorlax-SV-PID278
188;2025-08-14;yes;Hop's Snorlax;PPS7 JTG;JTG 117;—;base;;Play! Pokémon Prize Pack Series Seven;Prize Pack Series;GOSSAN;non-holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Seven/Hops-Snorlax-PPS7JTG-117
189;2025-11-28;yes;Hop's Snorlax;m2a;136;—;base;;MEGA Dream ex;Fixed;;non-holo, reverse-holo;confirmed, pending;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex/Hops-Snorlax-m2a136
190;2025-11-28;yes;Hop's Snorlax;xm2a;136;—;V1;mirror holo, colourless-energy star pattern;MEGA Dream ex: Additionals;Fixed;;mirror-holo;confirmed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V1-xm2a136
191;2025-11-28;yes;Hop's Snorlax;xm2a;136;—;V2;mirror holo, Poké Ball pattern;MEGA Dream ex: Additionals;Fixed;;mirror-holo;confirmed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Dream-ex-Additionals/Hops-Snorlax-V2-xm2a136
192;~2025;approx;Hop's Snorlax;CSV10C;175;—;base;;Chasing Glory Together;Rare;;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Chasing-Glory-Together/Hops-Snorlax-CSV10C175
193;~2025;approx;Snorlax;mC;567;—;base;;MEGA Start Deck 100 Battle Collection;Fixed;;non-holo;confirmed, pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Start-Deck-100-Battle-Collection/Snorlax-mC567
194;~2025;approx;Snorlax;mC;568;—;base;;MEGA Start Deck 100 Battle Collection;Fixed;;non-holo, reverse-holo;confirmed, marketplace-claimed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Start-Deck-100-Battle-Collection/Snorlax-mC568
195;~2025;approx;Hop's Snorlax;mC;569;—;base;;MEGA Start Deck 100 Battle Collection;Fixed;;non-holo;confirmed, pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Start-Deck-100-Battle-Collection/Hops-Snorlax-mC569
196;2025-12-19;yes;Snorlax;mP1;012;—;base;;MEGA Start Deck 100 Battle Collection Corociao Version;Fixed;Ounishi;;pending;2;;;;;;;;;;X;;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/MEGA-Start-Deck-100-Battle-Collection-Corociao-Version/Snorlax-mP1012
197;~2025;approx;Snorlax;CSVH4C;a003;—;base;;Happy Set Decidueye & Melmetal & Koraidon & Miraidon;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Happy-Set-Decidueye-Melmetal-Koraidon-Miraidon/Snorlax-CSVH4Ca003
198;~2025;approx;Snorlax ex;CSVH4C;p006;—;base;;Happy Set Decidueye & Melmetal & Koraidon & Miraidon;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Happy-Set-Decidueye-Melmetal-Koraidon-Miraidon/Snorlax-ex-CSVH4Cp006
199;~2026;approx;Snorlax;m3;062;—;base;;Nihil Zero;Common;;non-holo;confirmed, marketplace-claimed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Nihil-Zero/Snorlax-m3062
200;2026-01;yes;Snorlax;SV-P/ID;286;—;base;;Scarlet & Violet Indonesian Promos;Promo;;;pending;1;;;;;;;;;;;;;;X;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet-Indonesian-Promos/Snorlax-SV-PID286
201;2026-01-01;yes;Hop's Snorlax;PPS8 JTG;JTG 117;—;V1;Prize Pack Series Eight, Non-Holo (physically identical to the PPS7 Non-Holo print, catalogued separately);Play! Pokémon Prize Pack Series Eight;Prize Pack Series;GOSSAN;non-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117
202;2026-01-01;yes;Hop's Snorlax;PPS8 JTG;JTG 117;—;V2;Prize Pack Series Eight, Holo (Cosmos);Play! Pokémon Prize Pack Series Eight;Prize Pack Series;GOSSAN;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117
203;2026-03-27;yes;Snorlax;POR;063;—;base;;Perfect Order;Common;Toshinao Aoki;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Snorlax-POR063
