#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
83;2020-02-07;yes;Snorlax VMAX;SSH;142;—;V1;;Sword & Shield;Ultra Rare;aky CG Works;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield/Snorlax-VMAX-V1-SSH142
84;2020-02-07;yes;Snorlax VMAX;SSH;142;—;V3;;Sword & Shield;Oversized;aky CG Works;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield/Snorlax-VMAX-V3-SSH142
85;2020-02-07;yes;Snorlax V;SSH;197;—;V2;;Sword & Shield;Ultra Rare;aky CG Works;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield/Snorlax-V-V2-SSH197
86;2020-02-07;yes;Snorlax VMAX;SSH;206;—;V2;;Sword & Shield;Rainbow Rare;aky CG Works;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield/Snorlax-VMAX-V2-SSH206
87;2020-03-06;yes;Snorlax;s2;77;—;base;;Rebellion Crash;Uncommon;Eri Yamaki;non-holo, reverse-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rebellion-Crash/Snorlax-s277
88;~2020;approx;Snorlax;SWSH;032;—;base;;SWSH Black Star Promos;Promo;Tika Matsuno;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Snorlax-SWSH32
89;2020-05-01;yes;Snorlax;RCL;141;—;base;;Rebel Clash;Rare;Eri Yamaki;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rebel-Clash/Snorlax-RCL141
90;2020-06;yes;Snorlax;BA20;MWT;—;base;;Battle Academy 2020;Fixed;Akira Komayama;non-holo;confirmed, pending;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Academy-2020/Snorlax-HIF50
91;2020-09-18;yes;Snorlax;s4;84;—;base;;Shocking Volt Tackle;Rare;Atsuko Nishida;non-holo, reverse-holo;confirmed, marketplace-claimed;4;;;;;;;;;;X;X;X;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Shocking-Volt-Tackle/Snorlax-s484
92;~2020;approx;Snorlax;SWSH;068;—;base;;SWSH Black Star Promos;Promo;Narumi Sato;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Snorlax-SWSH068
93;2020-11-13;yes;Snorlax;VIV;131;—;V1;;Vivid Voltage;Holo Rare;Atsuko Nishida;holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Vivid-Voltage/Snorlax-V1-VIV131
94;2020-11-13;yes;Snorlax;VIV;131;—;V2;;Vivid Voltage;Promo;Atsuko Nishida;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Vivid-Voltage/Snorlax-V2-VIV131
95;2021-01-21;yes;Snorlax;S-P;156;—;base;;Sword & Shield Promos;Promo;Yuya Oka;;pending;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield-Promos/Snorlax-S-P156
